id;name;num_screens;num_seats;insee;commune;genre;art_et_essai;3D_screen
189830;L'ENTREPOT DES JALLES;1;480;33200;Le Haillan;FIXE;1;0
191591;HARITZ BARNE;1;193;64256;Hasparren;FIXE;1;1
194541;VARIETES;1;324;64260;Hendaye;FIXE;1;1
195021;GRAND ECRAN;1;376;85109;Les Herbiers;FIXE;1;1
198721;LOU HAPCHOT;1;481;33203;Hourtin;FIXE;0;0
199951;MERIDIEN;4;1_052;65226;Ibos;FIXE;1;1
200332;CINE ILAIS;1;216;85113;L' Île-d'Yeu;FIXE;1;1
201632;SALLE DES FETES;1;237;31239;L' Isle-en-Dodon;FIXE;0;1
201661;OLYMPIA;2;191;32160;L' Isle-Jourdain;FIXE;1;1
203343;SALLE DES ORMEAUX;1;191;85114;Jard-sur-Mer;FIXE;1;1
204891;FAMILIA;2;354;17197;Jonzac;FIXE;1;1
208981;SALLE JACQUES BREL;1;150;81115;Labastide-Rouairoux;ITINERANT;1;0
209151;GAUMONT;16;3_647;31254;Labège;FIXE;0;1
209494;LE FELIX;1;236;40134;Labouheyre;FIXE;1;1
209682;LE ROND POINT;1;167;81120;Labruguière;FIXE;1;0
212871;LE LALANO;1;252;65250;Lalanne-Trie;FIXE;1;0
215621;RIO;2;465;33227;Langon;FIXE;1;0
215634;GRAND ECRAN LANGON;6;993;33227;LANGON;FIXE;0;0
216064;LE RIO;1;383;65258;Lannemezan;FIXE;0;0
218381;L1S JOUVET;1;155;64320;Laruns;FIXE;1;1
220603;ESPACE DES NOUVEAUTES;1;192;81140;Lavaur;FIXE;1;1
220681;CASINO;2;480;09160;Lavelanet;FIXE;1;1
221712;LE SENECHAL;2;174;32208;Lectoure;FIXE;1;1
222030;TEMPO;1;252;31291;Léguevin;FIXE;1;0
222481;ETOILE;1;289;86128;Lencloître;FIXE;0;0
222821;ESPACE CULTUREL GEORGES BRASSENS;1;349;33238;Léognan;FIXE;0;1
222841;CENTRE CULTUREL LEON;1;222;40150;Léon;FIXE;1;1
223612;JEAN DUJARDIN;1;212;33240;Lesparre-Médoc;FIXE;1;1
225444;GRAND ECRAN;10;1_367;33243;Libourne;FIXE;1;1
228305;LIDO 2;3;686;87085;Limoges;FIXE;1;0
228311;HORIZON GRANDS ECRANS;14;2_252;87085;Limoges;FIXE;0;1
228370;GRAND ECRAN ESTER;14;2_465;87085;Limoges;FIXE;0;1
233742;L ARIXO;1;107;65282;Loudenvielle;FIXE;1;1
233802;CINEMA CORNAY;1;151;86137;Loudun;FIXE;1;0
234273;LE PALAIS;1;487;65286;Lourdes;FIXE;1;0
234295;CINEMA BERNADETTE;1;281;65286;Lourdes;FIXE;0;0
234296;LE PAX;3;492;65286;Lourdes;FIXE;0;0
234297;LE MAJESTIC;1;249;65286;Lourdes;FIXE;0;0
235771;ESPACE;5;766;85128;Luçon;FIXE;1;1
237793;MAISON DE LA VALLEE;1;137;65295;Luz-Saint-Sauveur;FIXE;1;1
